timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
2519040,1230,1.0,0.0,0.0,20.5,1.26
2539520,1240,0.99,0.01,0.0,19.8,1.4
2560000,1250,1.0,0.0,0.0,20.7,1.39
2580480,1260,1.0,0.0,0.0,20.1,1.35
2600960,1270,0.99,0.01,0.0,20.6,1.26
2621440,1280,0.99,0.01,0.0,20.0,1.3
2641920,1290,1.0,0.0,0.0,20.2,1.25
2662400,1300,1.0,0.0,0.0,20.2,1.5
2682880,1310,0.98,0.02,0.0,20.2,1.47
2703360,1320,1.0,0.0,0.0,20.3,1.27
2723840,1330,0.99,0.0,0.01,20.3,1.6
2744320,1340,0.99,0.0,0.01,20.3,1.27
2764800,1350,1.0,0.0,0.0,20.2,1.33
2785280,1360,1.0,0.0,0.0,20.5,1.19
2805760,1370,0.99,0.0,0.01,20.1,1.24
2826240,1380,0.99,0.0,0.01,20.7,1.33
2846720,1390,1.0,0.0,0.0,19.7,1.46
2867200,1400,1.0,0.0,0.0,20.2,1.43
2887680,1410,0.99,0.0,0.01,20.2,1.19
2908160,1420,0.99,0.0,0.01,19.9,1.43
2928640,1430,1.0,0.0,0.0,19.7,1.35
2949120,1440,0.99,0.0,0.01,20.2,1.35
2969600,1450,0.97,0.0,0.03,20.1,1.29
2990080,1460,0.97,0.01,0.02,20.4,1.32
3010560,1470,1.0,0.0,0.0,20.1,1.48
3031040,1480,0.98,0.01,0.01,20.4,1.28
3051520,1490,0.97,0.0,0.03,20.0,1.31
3072000,1500,0.99,0.0,0.01,20.0,1.29
3092480,1510,0.97,0.0,0.03,20.3,1.3
3112960,1520,0.98,0.01,0.01,20.6,1.47
3133440,1530,0.99,0.0,0.01,20.0,1.32
3153920,1540,0.98,0.0,0.02,19.8,1.31
3174400,1550,0.98,0.01,0.01,20.1,1.27
3194880,1560,1.0,0.0,0.0,20.3,1.37
3215360,1570,1.0,0.0,0.0,20.2,1.44
3235840,1580,1.0,0.0,0.0,20.1,1.5
3256320,1590,0.98,0.01,0.01,19.9,1.46
3276800,1600,1.0,0.0,0.0,20.5,1.38
3297280,1610,0.99,0.01,0.0,19.9,1.23
3317760,1620,0.98,0.01,0.01,20.1,1.34
3338240,1630,0.99,0.0,0.01,19.8,1.36
3358720,1640,0.99,0.0,0.01,19.6,1.35
3379200,1650,0.99,0.01,0.0,20.4,1.34
3399680,1660,0.99,0.0,0.01,20.7,1.46
3420160,1670,1.0,0.0,0.0,20.2,1.39
3440640,1680,0.97,0.01,0.02,20.5,1.49
3461120,1690,0.99,0.0,0.01,20.6,1.2
3481600,1700,0.98,0.0,0.02,20.5,1.32
3502080,1710,0.99,0.01,0.0,20.0,1.3
3522560,1720,0.99,0.01,0.0,19.7,1.3
